Lien,Texte
https://www.agenceecofin.com/actualites/3103-127141-la-smb-deploie-ses-10-ans-dexperience-lors-de-la-fastmarkets-bauxite-alumina-conference-2025,[]
https://www.agenceecofin.com/actualites-agro/3103-127140-nigeria-un-pret-de-80-millions-du-japon-pour-faciliter-l-acces-aux-intrants-agricoles,"['(Agence Ecofin) - Au Nigeria, le secteur agricole contribue à hauteur de 22\xa0% au PIB et emploie environ 34\xa0% de la population active. Pour financer la mise en œuvre de ses programmes phares de subventions au profit des agriculteurs, le gouvernement compte également sur le soutien de ses partenaires internationaux.', 'Le Nigeria vient d’obtenir un prêt de 12 milliards de yens (80,3 millions\xa0$) de l’Agence japonaise de coopération internationale (JICA) dans le cadre de son programme de subvention agricole phare baptisé «\u2009National Agricultural Growth Scheme and Agro-Pocket\u2009» (NAGS-AP). Ce programme mis en œuvre sur la période\xa02023-2027, vise à améliorer l’accès à des intrants agricoles de qualité à moindre coût pour plus de 5 millions d’agriculteurs à travers le pays à terme.', 'Dans un communiqué publié le 30 mars 2025 sur son site, le ministère de l’Agriculture a révélé que l’appui financier du Japon devrait permettre l’amélioration de la qualité des semences de riz, le renforcement de la distribution des intrants agricoles, l’amélioration des services de vulgarisation et l’intensification de la participation du secteur privé à la production d’intrants agricoles.', '«\u2009Si l’amélioration de la qualité des semences est cruciale, nous reconnaissons que la diffusion des connaissances l’est tout autant. Nous exploiterons les technologies numériques pour améliorer les services de vulgarisation, notamment en utilisant des applications mobiles afin d’aider les agriculteurs à prendre des décisions éclairées et à s’adapter plus rapidement aux défis\u2009», peut-on également lire dans le communiqué.', 'Cette annonce est à inscrire dans un contexte où la production nigériane de riz paddy a baissé de 7\xa0% à 8,3 millions de tonnes en 2024/2025. Dans son dernier rapport sur le marché céréalier au Nigeria, publié le 19 mars dernier, le Département américain de l’agriculture (USDA) prévoit que la récolte devrait encore baisser de 5\xa0% à 7,9 millions de tonnes en 2025/2026.', 'Parmi les principales raisons évoquées par l’organisme américain pour expliquer ce déclin, figurent notamment le coût élevé des intrants qui amène certains agriculteurs à réduire les surfaces emblavées. D’après l’USDA, la superficie dédiée à la riziculture dans le pays devrait chuter de 9\xa0% à 3,2 millions d’hectares en 2025/2026.', 'Rappelons qu’à travers son projet NAGS-AP, le gouvernement nigérian subventionne à hauteur de 50\xa0% le prix d’achat des engrais au profit des agriculteurs bénéficiaires.', 'Stéphanas Assocle', 'Édité par Wilfried ASSOGBA\xa0', 'Lire aussi:', '24/03/2025\xa0- Le Nigeria veut aménager 10 millions d’hectares de terres agricoles d’ici 2035']"
https://www.agenceecofin.com/actualites/3103-127139-le-kenya-hote-de-la-semaine-mondiale-des-relations-publiques-africaines-2025,"['(Agence Ecofin) - Chaque année, les professionnels africains des relations publiques se réunissent dans un pays pour discuter de l’avenir de leur secteur d’activité. Ce rassemblement est considéré comme l’événement le plus important des relations publiques à l’échelle africaine.', ""Nairobi, la capitale kényane, accueillera le plus grand événement des relations publiques africaines, l’Africa Global PR Week 2025, du mardi 26 au vendredi 29 août prochains. L’information a été rendue publique le lundi 29 avril dernier par les organisateurs de l’événement. Le thème choisi cette année est «\xa0Redéfinir les relations publiques, redéfinir l'Afrique\xa0», et propose d’aborder les changements du secteur qui peuvent avoir un impact sur l’image de l’Afrique."", ""\xa0«\xa0L'Africa Global PR Week 2025 est une plateforme de changement, où les histoires uniques de l'Afrique seront racontées au monde, et où les professionnels du monde entier se réuniront pour créer le prochain chapitre de l’histoire des relations publiques. Alors que le continent connaît une urbanisation rapide, une transformation numérique et une croissance économique, ce sommet est particulièrement bien placé pour amplifier la voix de l'Afrique sur la scène mondiale\xa0», indique le communiqué des organisateurs."", ""D’après les premières informations, les discussions porteront sur l'essor des médias numériques, l'influence croissante des agences de relations publiques locales, les stratégies basées sur l'Intelligence artificielle et le pouvoir de la narration pour rehausser l'image de l'Afrique sur la scène mondiale. Globalement, les professionnels du secteur veulent se servir des nouveaux outils à leur disposition pour façonner l’identité de l’Afrique."", 'Sur ce point, l’une des discussions les plus importantes pourrait être la capacité des autorités à contrôler l’usage de l’IA dans le secteur par la législation. En effet, la technologie prouve chaque jour sa capacité à reproduire, dans un délai très rapide, le travail issu de la créativité humaine, ce qui peut se révéler dangereux pour les différentes singularités des praticiens des relations publiques.\xa0', 'La discussion pourra être menée avec la présence annoncée de délégations de plusieurs gouvernements africains et de divers profils de participants, dont des spécialistes du droit. L’édition 2025 de l’Africa Global PR Week intéresse également les spécialistes des relations publiques basés hors du continent. Des personnalités comme l’américain Paul Holmes, fondateur de P\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Rovoke Media et des SABRE Awards, ont confirmé leur présence à l’événement.', 'Servan Ahougnon']"
https://www.agenceecofin.com/actualites-industries/3103-127138-cote-d-ivoire-le-debut-des-travaux-eies-du-projet-aurifere-boundiali-prevu-pour-avril,"['(Agence Ecofin) - Aurum a publié en janvier une première estimation des ressources du projet ivoirien Boundiali, confirmant la découverte de 1,59 million d’onces d’or. L’exploration devrait se poursuivre en 2025, alors que la société mène en parallèle des études techniques préalables à une éventuelle exploitation.', 'La junior minière australienne Aurum Resources intensifie les efforts en vue d’un éventuel développement de son actif aurifère Boundiali en Côte d’Ivoire. Elle a annoncé ce lundi 31 mars avoir engagé la filiale ivoirienne du spécialiste des questions environnementales Envitech, pour mener une étude d’impact environnemental et social (EIES) pour le projet. Les travaux devraient, indique-t-elle, débuter dès avril. \xa0', 'On apprend que l’EIES couvrira au total six gisements et prospects d’or, ainsi qu’une installation de traitement dans trois des quatre concessions d’exploration constituant le projet. Si aucun détail n’a été fourni sur la mise en œuvre de l’étude, notons qu’elle s’inscrit dans le cadre des travaux entamés par Aurum Resources pour finaliser l’étude de préfaisabilité de Boundiali. \xa0', 'L’EIES est une étude menée par un opérateur minier afin d’évaluer les impacts des composantes environnementales et sociales d’un projet. Cela lui permet notamment d’identifier de potentiels problèmes et de proposer des solutions ou mesures d’atténuation en conséquence. Elle entre en ligne de compte dans la procédure d’octroi de la licence d’exploitation minière nécessaire au développement d’un projet minier. \xa0', 'Pour l’heure, on ignore encore la durée de la mise en œuvre de l’EIES de Boundiali. Elle devrait être probablement finalisée dans les mois à venir, étant donné qu’Aurum Resources prévoit de réaliser l’étude de préfaisabilité du projet d’ici fin 2025. Parallèlement, la compagnie envisage aussi de poursuivre les études exploratoires dans l’objectif d’accroître les ressources de cet actif.\xa0', 'Pour rappel, une première estimation des ressources minérales (ERM) publiée en janvier a mis en évidence 1,59 million d’onces d’or (45 tonnes) à Boundiali. Un forage au diamant de 100\xa0000 mètres prévu prochainement devrait donner lieu à la publication de deux mises à jour d’ERM cette année.', 'Aurel Sèdjro Houenou (stagiaire)', 'Edité par\xa0: Feriol Bewa']"
https://www.agenceecofin.com/actualites-industries/3103-127137-cmoc-etablit-des-resultats-record-en-2024-et-entre-dans-le-top-10-mondial-des-producteurs-de-cuivre,"['(CMOC) - CMOC Group Limited (CMOC) a annoncé le 21 mars ses résultats financiers et opérationnels pour l’exercice 2024, affichant des records en matière de revenus, de rentabilité et de production. L’entreprise renforce ainsi sa position dans l’industrie minière mondiale, tout en poursuivant son engagement en faveur d’une excellence opérationnelle durable.', 'Principales données financières ', 'En 2024, CMOC a réalisé un bénéfice net part du groupe de 1,90\u202fmilliard USD, en hausse de 64,0\u202f% par rapport à 2023. Le chiffre d’affaires atteint 29,85 milliards USD (+14,37\xa0%) et le flux de trésorerie d’exploitation a bondi de 108,38%, à 4,54\u202fmilliards USD. Ces performances reflètent la solidité des opérations minières du groupe. Parallèlement, la filiale IXM a vu son bénéfice net croître de 48\u202f%, pour s’établir à 189,6\u202fmillions USD.', 'Réalisations opérationnelles\xa0: un producteur de cuivre parmi les Top 10 au monde', 'CMOC a produit 650\u202f161 tonnes de cuivre en 2024, soit une hausse exceptionnelle de 55\u202f% en un an — la plus rapide au monde cette année. Cette progression propulse CMOC dans le Top 10 des producteurs mondiaux. La production de cobalt a augmenté de 106\u202f%, pour atteindre 114\u202f165 tonnes, et celle de niobium de 5\u202f%, à 10\u202f024 tonnes. Par ailleurs, CMOC a produit 1,18\u202fmillion de tonnes d’engrais phosphatés, 8\u202f288 tonnes de tungstène et 15\u202f396 tonnes de molybdène, marquant des gains significatifs d’une année sur l’autre.\xa0', ""Outre ces étapes de production, le projet de minerai mixte TFM a atteint tous les objectifs de production et de qualité dans les délais prévus, et d'importantes étapes d'exploration en profondeur ont été franchies à la fois sur les sites TFM et KFM. En complément de ces réalisations opérationnelles, CMOC a signé le projet hydroélectrique Heshima de 200 MW en République démocratique du Congo, renforçant ainsi l'infrastructure locale et la sécurité énergétique.\xa0"", 'Tous les taux de variation sont exprimés en glissement annuel.', ""L'impact ESG"", ""CMOC a confirmé son engagement en matière de développement durable. Maintien de la note AA du classement ESG de MSCI, ce qui la place dans les 13\xa0% supérieurs des entreprises mondiales de métaux non ferreux. Le groupe a également obtenu sa première inclusion dans l'indice FTSE4Good. L’intensité carbone de sa production de cuivre demeure inférieure à celle de 70\u202f% de ses pairs. Le groupe a également publié l’intégralité de ses émissions Scope 3, illustrant un niveau inédit de transparence environnementale."", 'Au-delà de ses performances environnementales, CMOC a généré cette année 26,77\u202fmilliards USD de valeur pour l’économie mondiale et investi 40,92\u202fmillions USD dans des programmes de développement communautaire, confirmant son rôle d’entreprise citoyenne à fort impact social.', '2024 a été une année charnière pour CMOC, alliant résultats financiers et opérationnels records et renforcement de la solidité de son portefeuille diversifié. Pour les années à venir, l’entreprise reste résolument tournée vers la croissance, l’approfondissement de ses engagements ESG et la création de valeur durable pour l’ensemble de ses parties prenantes.', 'À propos du CMOC', ""CMOC Group Limited a été fondée en 1969 et est une société privée cotée à la bourse de Hong Kong en 2007 et à la bourse de Shanghai en 2012. CMOC est une société internationale spécialisée dans l'exploration, l'exploitation minière, le traitement, le raffinage, la commercialisation et le commerce des métaux rares. Ses principaux actifs et opérations sont situés en Asie, en Afrique, en Amérique du Sud et en Europe. La société est l'un des plus grands producteurs mondiaux de tungstène, de molybdène et de niobium, le plus grand producteur de cobalt et l'un des principaux producteurs mondiaux de cuivre. Elle est également le deuxième plus grand producteur d'engrais phosphatés au Brésil. En ce qui concerne ses activités commerciales, l'entreprise figure parmi les trois principaux négociants mondiaux de métaux de base. Conformément à son engagement en faveur d'un impact environnemental et social positif, l'entreprise investit massivement dans des initiatives ESG (environnementales, sociales et de gouvernance), ce qui a permis la création de plus de 32\xa0000 emplois."", '\xa0']"
https://www.agenceecofin.com/actualites/3103-127136-l-ue-et-le-nigeria-s-orientent-vers-la-creation-d-un-cadre-formel-de-dialogue-economique,"['(Agence Ecofin) - Le Nigeria met en œuvre des réformes visant à améliorer le climat des affaires, tout en favorisant la stabilité macroéconomique, des politiques favorables aux investisseurs\xa0 ', 'Le Nigeria et l’Union européenne (UE) souhaitent renforcer leurs relations économiques en instaurant un cadre formel de dialogue sur le commerce et l’investissement. Cette initiative a été évoquée lors d’une rencontre à Abuja entre le ministre nigérian des Finances, Wale Edun, et l’ambassadeur de l’UE, Gautier Mignot, selon un communiqué officiel du ministère.', ""Ce cadre de dialogue a pour objectif de «\xa0débloquer d'autres opportunités grâce à une collaboration renforcée, en particulier dans les domaines de l'infrastructure, de la finance verte et du développement durable\xa0», selon le communiqué."", 'Les discussions ont également porté sur plusieurs projets stratégiques, tels que le gazoduc transsaharien qui vise à renforcer l’approvisionnement énergétique de la région, et le système commercial national à guichet unique qui devrait améliorer l’efficacité des échanges commerciaux et la compétitivité du Nigeria. Ces initiatives s’inscrivent dans le programme national de consolidation budgétaire et de modernisation des infrastructures.', ""Selon les autorités nigérianes, l'UE est actuellement le plus grand partenaire commercial du Nigeria et l’une des principales sources d’investissements directs étrangers. En 2024, les échanges commerciaux bilatéraux ont atteint 20,36 milliards de dollars, selon l’International trade center (ITC). Par ailleurs, l’UE dispose d’un important portefeuille d’investissements au Nigeria, couvrant plusieurs secteurs clés, notamment l’agro-industrie, avec une solution numérique récemment lancée pour dynamiser le secteur, la transformation numérique, le climat et l’énergie, ainsi que les transports, l’éducation, la recherche et la santé."", 'Le Nigeria a officiellement rejoint la Banque européenne pour la reconstruction et le développement (BERD) en tant qu’actionnaire début mars, devenant ainsi le troisième pays d’Afrique subsaharienne à intégrer l’institution après le Bénin et la Côte d’Ivoire. Cette adhésion pourrait ouvrir la voie à de nouveaux financements et renforcer l’intégration du Nigeria dans les flux d’investissements européens.', 'Malgré ces opportunités, le Nigeria fait face à des défis économiques majeurs. L’inflation et la dévaluation du naira ont pesé sur la croissance qui peine à suivre le rythme de l’augmentation de la population. Selon un rapport de la Banque mondiale, cette situation a aggravé la pauvreté dans le pays.', 'Toutefois, le ministre des Finances a souligné les réformes en cours pour améliorer l’environnement des affaires et favoriser une croissance économique plus dynamique. Il prévoit une croissance du PIB de 4,6% d’ici 2025 et une augmentation de l’excédent commercial, ce qui constitue un signe positif pour l’avenir économique du Nigeria.', 'Ingrid Haffiny (stagiaire)']"
https://www.agenceecofin.com/actualites-infrastructures/3103-127135-le-ghana-va-consacrer-180-millions-a-lentretien-de-ses-routes-en-2025,"['(Agence Ecofin) - Les infrastructures routières sont la cible de projets phares du gouvernement ghanéen qui a annoncé des investissements massifs. Pour l’entretien du réseau actuel, un budget de 180 millions\xa0$ a été prévu.', 'Au Ghana, le Parlement a approuvé un budget de 2,8 milliards de cedis (environ 180 millions USD) pour entretenir le réseau routier national en 2025. L’initiative rapportée par la presse locale, vise selon les autorités à mieux entretenir plus de routes pour maintenir leur durabilité. Selon une note de l’Assemblée, 43% du réseau a été entretenu en 2024 grâce à des travaux de remodelage, de réparation des nids-de-poule, etc.', 'Ce financement s’inscrit dans la dynamique des grands projets du président ghanéen John Dramani Mahama, qui avait dévoilé un plan d’investissement de 10 milliards USD dénommé «\xa0Big Push\xa0» et couvrant des secteurs clés de l’économie comme le transport, la santé, l’énergie, etc. Le volet du programme portant sur les routes prévoit la remise en état de nombreux axes principaux, la desserte des régions intérieures ainsi que des routes urbaines et des autoroutes.', 'Selon le président, le réseau routier ghanéen est le principal support de la mobilité humaine et des expéditions de biens et de services. Il concentre plus de 90% des déplacements à travers le pays. Pendant plusieurs années en effet, le réseau ferroviaire a été abandonné en raison de la désuétude et de la faible densité des infrastructures.', 'Cependant des projets sont en cours ces dernières années pour réhabiliter et construire plusieurs lignes de chemin de fer, en vue de reconfigurer le système en un modèle multimodal.\xa0Les projets intègrent par ailleurs une interconnexion avec le Burkina Faso, l’un des principaux clients du port de Tema. \xa0\xa0', 'Henoc Dossa', 'Edité par\xa0: Feriol Bewa']"
https://www.agenceecofin.com/actualites-numerique/3103-127131-la-republique-du-congo-prevoit-1-3-million-pour-renforcer-sa-securite-numerique,"['(Agence Ecofin) - En février 2025, le gouvernement de la République du Congo a nommé un directeur général à la tête de l’Agence nationale de sécurité des systèmes d’information (ANSSI). Il a été reçu par son ministre de tutelle.', ""En République du Congo, le gouvernement a alloué un budget de 800 millions FCFA (environ 1,3 million USD) aux opérations de l'Agence nationale de sécurité des systèmes d'information (ANSSI). C’est ce qu’a indiqué Léon Juste Ibombo, le ministre congolais des Postes, des Télécommunications et de l’Économie numérique, lors d’une audience la semaine dernière avec le DG de l’organisme nommé en février, Oboulhas Tsahat Conrad Onésime."", ""Ce budget permettra à l'ANSSI de déployer ses infrastructures, de recruter du personnel qualifié et de concevoir des stratégies de cybersécurité adaptées. L'objectif est de renforcer la protection des systèmes d'information face aux cybermenaces croissantes, garantissant ainsi la sécurité des données et la confiance dans l'écosystème numérique national."", 'Placée sous la tutelle de la présidence de la République et administrée par le ministère de l’Économie numérique, l’Agence est chargée de superviser et coordonner la cybersécurité nationale, de gérer les incidents et menaces numériques, de répondre aux cyberattaques et d’assurer la protection des infrastructures numériques du pays.', 'Plusieurs défis se posent à elle, notamment le besoin de former des experts en cybersécurité, de sensibiliser les institutions et le grand public aux enjeux de la sécurité informatique, et de renforcer la coordination entre les acteurs concernés. Selon l’édition 2024 du «\xa0Global Cybersecurity Index\xa0» de l’Union internationale des télécommunications, la République du Congo figure dans la catégorie Tier 4, avec un score de 27,61 sur 100, soulignant l’ampleur des efforts encore nécessaires pour améliorer sa cybersécurité.', 'Edité par\xa0: Feriol Bewa', 'Adoni Conrad Quenum', 'Lire aussi:', '12/03/2025\xa0- Compétences numériques\xa0: la République du Congo en discussions avec le Give1project']"
https://www.agenceecofin.com/actualites/3103-127130-sonatel-et-senum-sa-collaborent-pour-renforcer-l-ecosysteme-numerique-senegalais,"['(Agence Ecofin) - Sonatel poursuit son engagement dans la transformation numérique du Sénégal. Après un accord récent entre sa fondation et le ministère de l’Éducation nationale, le groupe renforce sa collaboration avec une autre institution publique.', 'Sénégal Numérique (SENUM SA) et Sonatel, propriétaire de l’opérateur télécoms Orange, ont signé le mardi 25 mars un accord de partenariat pour soutenir la transformation numérique du pays. Les deux entités vont mutualiser leurs ressources et leurs expertises pour développer des services numériques innovants et améliorer la connectivité à travers le territoire.', '«\xa0Cette collaboration vise à accélérer la transformation numérique du Sénégal en s’appuyant sur quatre axes majeurs\xa0: le renforcement des infrastructures pour une connectivité fiable, le développement de solutions cloud et datacenters souverains, la digitalisation des services publics et le soutien à l’innovation et à la formation des citoyens\xa0»,\xa0informe le groupe.', 'Selon les détails relayés à la télévision nationale (RTS), l’accord prévoit une interconnexion des câbles sous-marins des deux entités pour renforcer la résilience des infrastructures numériques, une réactivation du point d’échange internet SENIX pour améliorer la gestion des flux de données et renforcer la souveraineté numérique, et une interconnexion des pôles Sénégal Services et Orange Digital Service pour une meilleure accessibilité aux services numériques publics et privés. Il y a aussi la mise en place d’un système d’e-certificats, garantissant la traçabilité et la conformité des actions environnementales.', 'Ce partenariat, informe We Are Tech Africa, s’inscrit dans le cadre de la nouvelle stratégie numérique du Sénégal, qui ambitionne de moderniser l’administration, de renforcer la souveraineté numérique et de favoriser l’inclusion numérique. Il vise à surmonter les défis liés à la connectivité et à l’accès aux services numériques, essentiels pour le développement économique et social.', 'Le succès du partenariat dépendra de la mise en œuvre concrète des initiatives prévues. Des défis subsistent, notamment en matière d’infrastructures, de formation aux outils numériques et de couverture réseau dans les zones rurales. La régulation et la gouvernance de ce partenariat public-privé pourraient également soulever des enjeux.', 'À long terme, cette collaboration pourrait favoriser l’émergence d’un écosystème numérique dynamique au Sénégal, attirer des investissements et renforcer la compétitivité du pays dans le secteur technologique.', 'Lire aussi:', ""03/02/2025\xa0- Le groupe Orange s'engage à investir dans le New deal technologique au Sénégal ""]"
https://www.agenceecofin.com/actualites-industries/3103-127129-maroc-predator-oil-en-quete-de-partenaire-pour-guercif,"['(Agence Ecofin) - Après des évaluations sur le puits\xa0MOU-5 du périmètre Guercif, la société Predator Oil & Gas a réussi à confirmer le potentiel en hydrocarbures du site via l’identification d’une formation géologique carbonatée.', 'Predator Oil & Gas cherche à nouer un partenariat local pour accélérer ses opérations en lien avec le périmètre gazier de Guercif au Maroc. C’est ce qu’il ressort d’une sortie médiatique jeudi 27\xa0mars de Paul Griffiths, PDG de la compagnie britannique.', '«\u2009Nous voulons un partenaire qui partage notre vision et qui a besoin de gaz\u2009»,\xa0a déclaré le patron de l’entreprise qui entend, en contrepartie d’un éventuel contrat d’amodiation, céder une partie des 75\xa0% de participation qu’elle détient sur le périmètre.', 'À travers cette décision, Predator Oil souhaite en fait sécuriser des financements et intensifier ses activités avec pour double objectif de lancer une nouvelle phase d’exploration ciblant les carbonates jurassiques et tester une poche de gaz identifiée sur le puits\xa0MOU-3.', 'Ce dernier réservoir, situé à seulement 350\xa0mètres de profondeur, pourrait permettre une monétisation rapide du gaz\xa0sous réserve de conditions techniques et commerciales favorables, à condition toutefois qu’un acteur local s’engage à en assurer la distribution.', 'En attirant un investisseur prêt à financer une partie des opérations, Predator Oil & Gas réduit son exposition financière tout en augmentant ses chances de concrétiser ce projet à fort potentiel, essentiel par ailleurs pour les plans de transition énergétique du Maroc.', 'L’amodiation permettrait également d’accélérer le programme d’acquisition sismique\xa03D prévu dans le cadre du Jurassic Project, essentiel pour caractériser les structures géologiques et d’optimiser les futurs forages. Une avancée qui influencera la stratégie énergétique locale en fonction des résultats obtenus et de l’intérêt des investisseurs.', 'Abdel-Latif Boureima', 'Édité par Wilfried ASSOGBA', 'Lire aussi\xa0:', '18/03/2025\xa0- Maroc\xa0: Predator Oil confirme le potentiel gazier du puits\xa0MOU-5 de Guercif', '21/01/2025\xa0- Maroc\xa0: Predator Oil s’active pour le forage d’un puits gazier à Guercif']"
