Lien,Texte
https://www.agenceecofin.com/actualites/3103-127141-la-smb-deploie-ses-10-ans-dexperience-lors-de-la-fastmarkets-bauxite-alumina-conference-2025,SMB - Forte de 10 ans dexistence la Socit Minire de Bok SMB prendra part  la 29e dition de Fastmarkets Bauxite and Alumina lvnement international de rfrence consacr  lensemble de la chane de valeur de la bauxite et de lalumine Organis par Fastmarkets le forum se tiendra du 2 au 4 avril 2025  Miami runissant les principaux acteurs experts et dcideurs de lindustrie mondiale Depuis plusieurs annes la Guine simpose comme un leader incontest du march mondial de la bauxite affirmant son rle stratgique dans lapprovisionnement global Elle a atteint une production de prs de 55 millions de tonnes en 2025 renforant ainsi sa position sur lchiquier mondial Ce succs sexplique en grande partie par lengagement et les investissements pionniers de la Socit Minire de Bok SMB En positionnant la Guine au cur de la chane de valeur mondiale la SMB participe non seulement au rayonnement international du secteur minier guinen mais aussi  la transformation durable de lindustrie Au cur de la chane de valeurxa0 une rencontre incontournable pour lindustrie Fastmarkets Bauxite and Alumina 2025 est une plateforme stratgique permettant de tisser des liens solides avec les parties prenantes de toute la chane de valeurxa0 producteurs affineurs ngociants prestataires logistiques dcideurs politiques et partenaires techniques En marge des confrences la SMB participera activement aux changes afin de nourrir la rflexion collective en apportant son regard sur les dynamiques actuelles du secteur xa0Notre participation  cet vnement tmoigne de notre engagement  rester connects aux grandes dynamiques du secteur aprs 10 dexistence Cest aussi loccasion de partager notre exprience guinenne face aux dfis globaux de lindustrie La collaboration internationale est essentielle pour btir un avenir minier plus rsilient et durablexa0 dclare Frdric Bouzigues Directeur Gnral de la Socit Minire de Bok  propos de la Socit Minire de Bok SMB Fonde en 2014 la Socit Minire de Bok SMB est aujourdhui le premier producteur et exportateur de bauxite de Guine Pionnier dans la construction des infrastructures routires ferroviaires et logistiques qui accompagnent la chane de valeur de la bauxite la production de la SMB slve  55 millions de tonnes en 2024 Aujourdhui la contribution de la SMB reprsente 38 de la production nationale et 39 des exportations de bauxite de la Guine La SMB est devenue un oprateur minier incontournable Vritable catalyseur conomique la SMB a ainsi permis  la Guine de se hisser au rang de 2me producteur mondial de bauxite Pour plus dinformations sur la 29e dition de Fastmarkets Bauxite and Aluminaxa0 httpswwwfastmarketscomeventsbauxite-and-alumina-2025
https://www.agenceecofin.com/actualites-agro/3103-127140-nigeria-un-pret-de-80-millions-du-japon-pour-faciliter-l-acces-aux-intrants-agricoles,Agence Ecofin - Au Nigeria le secteur agricole contribue  hauteur de 22xa0 au PIB et emploie environ 34xa0 de la population active Pour financer la mise en uvre de ses programmes phares de subventions au profit des agriculteurs le gouvernement compte galement sur le soutien de ses partenaires internationaux Le Nigeria vient dobtenir un prt de 12 milliards de yens 803 millionsxa0 de lAgence japonaise de coopration internationale JICA dans le cadre de son programme de subvention agricole phare baptis u2009National Agricultural Growth Scheme and Agro-Pocketu2009 NAGS-AP Ce programme mis en uvre sur la priodexa02023-2027 vise  amliorer laccs  des intrants agricoles de qualit  moindre cot pour plus de 5 millions dagriculteurs  travers le pays  terme Dans un communiqu publi le 30 mars 2025 sur son site le ministre de lAgriculture a rvl que lappui financier du Japon devrait permettre lamlioration de la qualit des semences de riz le renforcement de la distribution des intrants agricoles lamlioration des services de vulgarisation et lintensification de la participation du secteur priv  la production dintrants agricoles u2009Si lamlioration de la qualit des semences est cruciale nous reconnaissons que la diffusion des connaissances lest tout autant Nous exploiterons les technologies numriques pour amliorer les services de vulgarisation notamment en utilisant des applications mobiles afin daider les agriculteurs  prendre des dcisions claires et  sadapter plus rapidement aux dfisu2009 peut-on galement lire dans le communiqu Cette annonce est  inscrire dans un contexte o la production nigriane de riz paddy a baiss de 7xa0  83 millions de tonnes en 20242025 Dans son dernier rapport sur le march cralier au Nigeria publi le 19 mars dernier le Dpartement amricain de lagriculture USDA prvoit que la rcolte devrait encore baisser de 5xa0  79 millions de tonnes en 20252026 Parmi les principales raisons voques par lorganisme amricain pour expliquer ce dclin figurent notamment le cot lev des intrants qui amne certains agriculteurs  rduire les surfaces emblaves Daprs lUSDA la superficie ddie  la riziculture dans le pays devrait chuter de 9xa0  32 millions dhectares en 20252026 Rappelons qu travers son projet NAGS-AP le gouvernement nigrian subventionne  hauteur de 50xa0 le prix dachat des engrais au profit des agriculteurs bnficiaires Stphanas Assocle dit par Wilfried ASSOGBAxa0 Lire aussi 24032025xa0- Le Nigeria veut amnager 10 millions dhectares de terres agricoles dici 2035
https://www.agenceecofin.com/actualites/3103-127139-le-kenya-hote-de-la-semaine-mondiale-des-relations-publiques-africaines-2025,Agence Ecofin - Chaque anne les professionnels africains des relations publiques se runissent dans un pays pour discuter de lavenir de leur secteur dactivit Ce rassemblement est considr comme lvnement le plus important des relations publiques  lchelle africaine Nairobi la capitale knyane accueillera le plus grand vnement des relations publiques africaines lAfrica Global PR Week 2025 du mardi 26 au vendredi 29 aot prochains Linformation a t rendue publique le lundi 29 avril dernier par les organisateurs de lvnement Le thme choisi cette anne est xa0Redfinir les relations publiques redfinir lAfriquexa0 et propose daborder les changements du secteur qui peuvent avoir un impact sur limage de lAfrique xa0xa0LAfrica Global PR Week 2025 est une plateforme de changement o les histoires uniques de lAfrique seront racontes au monde et o les professionnels du monde entier se runiront pour crer le prochain chapitre de lhistoire des relations publiques Alors que le continent connat une urbanisation rapide une transformation numrique et une croissance conomique ce sommet est particulirement bien plac pour amplifier la voix de lAfrique sur la scne mondialexa0 indique le communiqu des organisateurs Daprs les premires informations les discussions porteront sur lessor des mdias numriques linfluence croissante des agences de relations publiques locales les stratgies bases sur lIntelligence artificielle et le pouvoir de la narration pour rehausser limage de lAfrique sur la scne mondiale Globalement les professionnels du secteur veulent se servir des nouveaux outils  leur disposition pour faonner lidentit de lAfrique Sur ce point lune des discussions les plus importantes pourrait tre la capacit des autorits  contrler lusage de lIA dans le secteur par la lgislation En effet la technologie prouve chaque jour sa capacit  reproduire dans un dlai trs rapide le travail issu de la crativit humaine ce qui peut se rvler dangereux pour les diffrentes singularits des praticiens des relations publiquesxa0 La discussion pourra tre mene avec la prsence annonce de dlgations de plusieurs gouvernements africains et de divers profils de participants dont des spcialistes du droit Ldition 2025 de lAfrica Global PR Week intresse galement les spcialistes des relations publiques bass hors du continent Des personnalits comme lamricain Paul Holmes fondateur de Pxa0xa0xa0xa0xa0xa0xa0 Rovoke Media et des SABRE Awards ont confirm leur prsence  lvnement Servan Ahougnon
https://www.agenceecofin.com/actualites-industries/3103-127138-cote-d-ivoire-le-debut-des-travaux-eies-du-projet-aurifere-boundiali-prevu-pour-avril,Agence Ecofin - Aurum a publi en janvier une premire estimation des ressources du projet ivoirien Boundiali confirmant la dcouverte de 159 million donces dor Lexploration devrait se poursuivre en 2025 alors que la socit mne en parallle des tudes techniques pralables  une ventuelle exploitation La junior minire australienne Aurum Resources intensifie les efforts en vue dun ventuel dveloppement de son actif aurifre Boundiali en Cte dIvoire Elle a annonc ce lundi 31 mars avoir engag la filiale ivoirienne du spcialiste des questions environnementales Envitech pour mener une tude dimpact environnemental et social EIES pour le projet Les travaux devraient indique-t-elle dbuter ds avril xa0 On apprend que lEIES couvrira au total six gisements et prospects dor ainsi quune installation de traitement dans trois des quatre concessions dexploration constituant le projet Si aucun dtail na t fourni sur la mise en uvre de ltude notons quelle sinscrit dans le cadre des travaux entams par Aurum Resources pour finaliser ltude de prfaisabilit de Boundiali xa0 LEIES est une tude mene par un oprateur minier afin dvaluer les impacts des composantes environnementales et sociales dun projet Cela lui permet notamment didentifier de potentiels problmes et de proposer des solutions ou mesures dattnuation en consquence Elle entre en ligne de compte dans la procdure doctroi de la licence dexploitation minire ncessaire au dveloppement dun projet minier xa0 Pour lheure on ignore encore la dure de la mise en uvre de lEIES de Boundiali Elle devrait tre probablement finalise dans les mois  venir tant donn quAurum Resources prvoit de raliser ltude de prfaisabilit du projet dici fin 2025 Paralllement la compagnie envisage aussi de poursuivre les tudes exploratoires dans lobjectif daccrotre les ressources de cet actifxa0 Pour rappel une premire estimation des ressources minrales ERM publie en janvier a mis en vidence 159 million donces dor 45 tonnes  Boundiali Un forage au diamant de 100xa0000 mtres prvu prochainement devrait donner lieu  la publication de deux mises  jour dERM cette anne Aurel Sdjro Houenou stagiaire Edit parxa0 Feriol Bewa
https://www.agenceecofin.com/actualites-industries/3103-127137-cmoc-etablit-des-resultats-record-en-2024-et-entre-dans-le-top-10-mondial-des-producteurs-de-cuivre,CMOC - CMOC Group Limited CMOC a annonc le 21 mars ses rsultats financiers et oprationnels pour lexercice 2024 affichant des records en matire de revenus de rentabilit et de production Lentreprise renforce ainsi sa position dans lindustrie minire mondiale tout en poursuivant son engagement en faveur dune excellence oprationnelle durable Principales donnes financires  En 2024 CMOC a ralis un bnfice net part du groupe de 190u202fmilliard USD en hausse de 640u202f par rapport  2023 Le chiffre daffaires atteint 2985 milliards USD 1437xa0 et le flux de trsorerie dexploitation a bondi de 10838  454u202fmilliards USD Ces performances refltent la solidit des oprations minires du groupe Paralllement la filiale IXM a vu son bnfice net crotre de 48u202f pour stablir  1896u202fmillions USD Ralisations oprationnellesxa0 un producteur de cuivre parmi les Top 10 au monde CMOC a produit 650u202f161 tonnes de cuivre en 2024 soit une hausse exceptionnelle de 55u202f en un an  la plus rapide au monde cette anne Cette progression propulse CMOC dans le Top 10 des producteurs mondiaux La production de cobalt a augment de 106u202f pour atteindre 114u202f165 tonnes et celle de niobium de 5u202f  10u202f024 tonnes Par ailleurs CMOC a produit 118u202fmillion de tonnes dengrais phosphats 8u202f288 tonnes de tungstne et 15u202f396 tonnes de molybdne marquant des gains significatifs dune anne sur lautrexa0 Outre ces tapes de production le projet de minerai mixte TFM a atteint tous les objectifs de production et de qualit dans les dlais prvus et dimportantes tapes dexploration en profondeur ont t franchies  la fois sur les sites TFM et KFM En complment de ces ralisations oprationnelles CMOC a sign le projet hydrolectrique Heshima de 200 MW en Rpublique dmocratique du Congo renforant ainsi linfrastructure locale et la scurit nergtiquexa0 Tous les taux de variation sont exprims en glissement annuel Limpact ESG CMOC a confirm son engagement en matire de dveloppement durable Maintien de la note AA du classement ESG de MSCI ce qui la place dans les 13xa0 suprieurs des entreprises mondiales de mtaux non ferreux Le groupe a galement obtenu sa premire inclusion dans lindice FTSE4Good Lintensit carbone de sa production de cuivre demeure infrieure  celle de 70u202f de ses pairs Le groupe a galement publi lintgralit de ses missions Scope 3 illustrant un niveau indit de transparence environnementale Au-del de ses performances environnementales CMOC a gnr cette anne 2677u202fmilliards USD de valeur pour lconomie mondiale et investi 4092u202fmillions USD dans des programmes de dveloppement communautaire confirmant son rle dentreprise citoyenne  fort impact social 2024 a t une anne charnire pour CMOC alliant rsultats financiers et oprationnels records et renforcement de la solidit de son portefeuille diversifi Pour les annes  venir lentreprise reste rsolument tourne vers la croissance lapprofondissement de ses engagements ESG et la cration de valeur durable pour lensemble de ses parties prenantes  propos du CMOC CMOC Group Limited a t fonde en 1969 et est une socit prive cote  la bourse de Hong Kong en 2007 et  la bourse de Shanghai en 2012 CMOC est une socit internationale spcialise dans lexploration lexploitation minire le traitement le raffinage la commercialisation et le commerce des mtaux rares Ses principaux actifs et oprations sont situs en Asie en Afrique en Amrique du Sud et en Europe La socit est lun des plus grands producteurs mondiaux de tungstne de molybdne et de niobium le plus grand producteur de cobalt et lun des principaux producteurs mondiaux de cuivre Elle est galement le deuxime plus grand producteur dengrais phosphats au Brsil En ce qui concerne ses activits commerciales lentreprise figure parmi les trois principaux ngociants mondiaux de mtaux de base Conformment  son engagement en faveur dun impact environnemental et social positif lentreprise investit massivement dans des initiatives ESG environnementales sociales et de gouvernance ce qui a permis la cration de plus de 32xa0000 emplois xa0
https://www.agenceecofin.com/actualites/3103-127136-l-ue-et-le-nigeria-s-orientent-vers-la-creation-d-un-cadre-formel-de-dialogue-economique,Agence Ecofin - Le Nigeria met en uvre des rformes visant  amliorer le climat des affaires tout en favorisant la stabilit macroconomique des politiques favorables aux investisseursxa0  Le Nigeria et lUnion europenne UE souhaitent renforcer leurs relations conomiques en instaurant un cadre formel de dialogue sur le commerce et linvestissement Cette initiative a t voque lors dune rencontre  Abuja entre le ministre nigrian des Finances Wale Edun et lambassadeur de lUE Gautier Mignot selon un communiqu officiel du ministre Ce cadre de dialogue a pour objectif de xa0dbloquer dautres opportunits grce  une collaboration renforce en particulier dans les domaines de linfrastructure de la finance verte et du dveloppement durablexa0 selon le communiqu Les discussions ont galement port sur plusieurs projets stratgiques tels que le gazoduc transsaharien qui vise  renforcer lapprovisionnement nergtique de la rgion et le systme commercial national  guichet unique qui devrait amliorer lefficacit des changes commerciaux et la comptitivit du Nigeria Ces initiatives sinscrivent dans le programme national de consolidation budgtaire et de modernisation des infrastructures Selon les autorits nigrianes lUE est actuellement le plus grand partenaire commercial du Nigeria et lune des principales sources dinvestissements directs trangers En 2024 les changes commerciaux bilatraux ont atteint 2036 milliards de dollars selon lInternational trade center ITC Par ailleurs lUE dispose dun important portefeuille dinvestissements au Nigeria couvrant plusieurs secteurs cls notamment lagro-industrie avec une solution numrique rcemment lance pour dynamiser le secteur la transformation numrique le climat et lnergie ainsi que les transports lducation la recherche et la sant Le Nigeria a officiellement rejoint la Banque europenne pour la reconstruction et le dveloppement BERD en tant quactionnaire dbut mars devenant ainsi le troisime pays dAfrique subsaharienne  intgrer linstitution aprs le Bnin et la Cte dIvoire Cette adhsion pourrait ouvrir la voie  de nouveaux financements et renforcer lintgration du Nigeria dans les flux dinvestissements europens Malgr ces opportunits le Nigeria fait face  des dfis conomiques majeurs Linflation et la dvaluation du naira ont pes sur la croissance qui peine  suivre le rythme de laugmentation de la population Selon un rapport de la Banque mondiale cette situation a aggrav la pauvret dans le pays Toutefois le ministre des Finances a soulign les rformes en cours pour amliorer lenvironnement des affaires et favoriser une croissance conomique plus dynamique Il prvoit une croissance du PIB de 46 dici 2025 et une augmentation de lexcdent commercial ce qui constitue un signe positif pour lavenir conomique du Nigeria Ingrid Haffiny stagiaire
https://www.agenceecofin.com/actualites-infrastructures/3103-127135-le-ghana-va-consacrer-180-millions-a-lentretien-de-ses-routes-en-2025,Agence Ecofin - Les infrastructures routires sont la cible de projets phares du gouvernement ghanen qui a annonc des investissements massifs Pour lentretien du rseau actuel un budget de 180 millionsxa0 a t prvu Au Ghana le Parlement a approuv un budget de 28 milliards de cedis environ 180 millions USD pour entretenir le rseau routier national en 2025 Linitiative rapporte par la presse locale vise selon les autorits  mieux entretenir plus de routes pour maintenir leur durabilit Selon une note de lAssemble 43 du rseau a t entretenu en 2024 grce  des travaux de remodelage de rparation des nids-de-poule etc Ce financement sinscrit dans la dynamique des grands projets du prsident ghanen John Dramani Mahama qui avait dvoil un plan dinvestissement de 10 milliards USD dnomm xa0Big Pushxa0 et couvrant des secteurs cls de lconomie comme le transport la sant lnergie etc Le volet du programme portant sur les routes prvoit la remise en tat de nombreux axes principaux la desserte des rgions intrieures ainsi que des routes urbaines et des autoroutes Selon le prsident le rseau routier ghanen est le principal support de la mobilit humaine et des expditions de biens et de services Il concentre plus de 90 des dplacements  travers le pays Pendant plusieurs annes en effet le rseau ferroviaire a t abandonn en raison de la dsutude et de la faible densit des infrastructures Cependant des projets sont en cours ces dernires annes pour rhabiliter et construire plusieurs lignes de chemin de fer en vue de reconfigurer le systme en un modle multimodalxa0Les projets intgrent par ailleurs une interconnexion avec le Burkina Faso lun des principaux clients du port de Tema xa0xa0 Henoc Dossa Edit parxa0 Feriol Bewa
https://www.agenceecofin.com/actualites-numerique/3103-127131-la-republique-du-congo-prevoit-1-3-million-pour-renforcer-sa-securite-numerique,Agence Ecofin - En fvrier 2025 le gouvernement de la Rpublique du Congo a nomm un directeur gnral  la tte de lAgence nationale de scurit des systmes dinformation ANSSI Il a t reu par son ministre de tutelle En Rpublique du Congo le gouvernement a allou un budget de 800 millions FCFA environ 13 million USD aux oprations de lAgence nationale de scurit des systmes dinformation ANSSI Cest ce qua indiqu Lon Juste Ibombo le ministre congolais des Postes des Tlcommunications et de lconomie numrique lors dune audience la semaine dernire avec le DG de lorganisme nomm en fvrier Oboulhas Tsahat Conrad Onsime Ce budget permettra  lANSSI de dployer ses infrastructures de recruter du personnel qualifi et de concevoir des stratgies de cyberscurit adaptes Lobjectif est de renforcer la protection des systmes dinformation face aux cybermenaces croissantes garantissant ainsi la scurit des donnes et la confiance dans lcosystme numrique national Place sous la tutelle de la prsidence de la Rpublique et administre par le ministre de lconomie numrique lAgence est charge de superviser et coordonner la cyberscurit nationale de grer les incidents et menaces numriques de rpondre aux cyberattaques et dassurer la protection des infrastructures numriques du pays Plusieurs dfis se posent  elle notamment le besoin de former des experts en cyberscurit de sensibiliser les institutions et le grand public aux enjeux de la scurit informatique et de renforcer la coordination entre les acteurs concerns Selon ldition 2024 du xa0Global Cybersecurity Indexxa0 de lUnion internationale des tlcommunications la Rpublique du Congo figure dans la catgorie Tier 4 avec un score de 2761 sur 100 soulignant lampleur des efforts encore ncessaires pour amliorer sa cyberscurit Edit parxa0 Feriol Bewa Adoni Conrad Quenum Lire aussi 12032025xa0- Comptences numriquesxa0 la Rpublique du Congo en discussions avec le Give1project
https://www.agenceecofin.com/actualites/3103-127130-sonatel-et-senum-sa-collaborent-pour-renforcer-l-ecosysteme-numerique-senegalais,Agence Ecofin - Sonatel poursuit son engagement dans la transformation numrique du Sngal Aprs un accord rcent entre sa fondation et le ministre de lducation nationale le groupe renforce sa collaboration avec une autre institution publique Sngal Numrique SENUM SA et Sonatel propritaire de loprateur tlcoms Orange ont sign le mardi 25 mars un accord de partenariat pour soutenir la transformation numrique du pays Les deux entits vont mutualiser leurs ressources et leurs expertises pour dvelopper des services numriques innovants et amliorer la connectivit  travers le territoire xa0Cette collaboration vise  acclrer la transformation numrique du Sngal en sappuyant sur quatre axes majeursxa0 le renforcement des infrastructures pour une connectivit fiable le dveloppement de solutions cloud et datacenters souverains la digitalisation des services publics et le soutien  linnovation et  la formation des citoyensxa0xa0informe le groupe Selon les dtails relays  la tlvision nationale RTS laccord prvoit une interconnexion des cbles sous-marins des deux entits pour renforcer la rsilience des infrastructures numriques une ractivation du point dchange internet SENIX pour amliorer la gestion des flux de donnes et renforcer la souverainet numrique et une interconnexion des ples Sngal Services et Orange Digital Service pour une meilleure accessibilit aux services numriques publics et privs Il y a aussi la mise en place dun systme de-certificats garantissant la traabilit et la conformit des actions environnementales Ce partenariat informe We Are Tech Africa sinscrit dans le cadre de la nouvelle stratgie numrique du Sngal qui ambitionne de moderniser ladministration de renforcer la souverainet numrique et de favoriser linclusion numrique Il vise  surmonter les dfis lis  la connectivit et  laccs aux services numriques essentiels pour le dveloppement conomique et social Le succs du partenariat dpendra de la mise en uvre concrte des initiatives prvues Des dfis subsistent notamment en matire dinfrastructures de formation aux outils numriques et de couverture rseau dans les zones rurales La rgulation et la gouvernance de ce partenariat public-priv pourraient galement soulever des enjeux  long terme cette collaboration pourrait favoriser lmergence dun cosystme numrique dynamique au Sngal attirer des investissements et renforcer la comptitivit du pays dans le secteur technologique Lire aussi 03022025xa0- Le groupe Orange sengage  investir dans le New deal technologique au Sngal 
https://www.agenceecofin.com/actualites-industries/3103-127129-maroc-predator-oil-en-quete-de-partenaire-pour-guercif,Agence Ecofin - Aprs des valuations sur le puitsxa0MOU-5 du primtre Guercif la socit Predator Oil  Gas a russi  confirmer le potentiel en hydrocarbures du site via lidentification dune formation gologique carbonate Predator Oil  Gas cherche  nouer un partenariat local pour acclrer ses oprations en lien avec le primtre gazier de Guercif au Maroc Cest ce quil ressort dune sortie mdiatique jeudi 27xa0mars de Paul Griffiths PDG de la compagnie britannique u2009Nous voulons un partenaire qui partage notre vision et qui a besoin de gazu2009xa0a dclar le patron de lentreprise qui entend en contrepartie dun ventuel contrat damodiation cder une partie des 75xa0 de participation quelle dtient sur le primtre  travers cette dcision Predator Oil souhaite en fait scuriser des financements et intensifier ses activits avec pour double objectif de lancer une nouvelle phase dexploration ciblant les carbonates jurassiques et tester une poche de gaz identifie sur le puitsxa0MOU-3 Ce dernier rservoir situ  seulement 350xa0mtres de profondeur pourrait permettre une montisation rapide du gazxa0sous rserve de conditions techniques et commerciales favorables  condition toutefois quun acteur local sengage  en assurer la distribution En attirant un investisseur prt  financer une partie des oprations Predator Oil  Gas rduit son exposition financire tout en augmentant ses chances de concrtiser ce projet  fort potentiel essentiel par ailleurs pour les plans de transition nergtique du Maroc Lamodiation permettrait galement dacclrer le programme dacquisition sismiquexa03D prvu dans le cadre du Jurassic Project essentiel pour caractriser les structures gologiques et doptimiser les futurs forages Une avance qui influencera la stratgie nergtique locale en fonction des rsultats obtenus et de lintrt des investisseurs Abdel-Latif Boureima dit par Wilfried ASSOGBA Lire aussixa0 18032025xa0- Marocxa0 Predator Oil confirme le potentiel gazier du puitsxa0MOU-5 de Guercif 21012025xa0- Marocxa0 Predator Oil sactive pour le forage dun puits gazier  Guercif
